index,true_label,predicted_label,confidence,predicted_proba,text
775,1,0,0.9995,0.9995,"tja, dann hat die PEGIDA wohl nun eine gewisse aufklärungspflicht, damit die ausländischen fachkräfte keine angst haben."
202,1,0,0.9995,0.9995,Haben die Jungens gut auf den Punkt gebracht...https://www.youtube.com/watch?v=1ve1kjJOHYI&feature=share
1309,0,1,0.9966,0.9966,Es muss weiter gehen
957,0,1,0.9956,0.9956,Wir Sorgen dafür das Dresden Montag Bunt ist . Jetzt erst Recht !!! Pro Pegida/LEGIDA
135,1,0,0.992,0.992,"Düsseldorf -

Wer kennt diese Männer? Mit Fotos aus Überwachungskameras sucht die Düsseldorfer Polizei nach ihnen. Sie sollen unter falschen Namen bei verschiedenen Banken Konten angelegt haben. Daraufhin sollen sie mit betrügerischen Überweisungen Konten unbeteiligter Bürger geschädigt haben. Der Schaden beläuft sich auf mehrere Tausend Euro....http://www.express.de/duesseldorf/duesseldorf-polizei-sucht-diese-kontobetrueger-23615652"
1156,0,1,0.992,0.992,PEGIDA gebt acht wer sich in euren Reihen tummelt!!!
631,1,0,0.991,0.991,Til Schweiger boykottieren
900,0,1,0.9854,0.9854,Stechen sich gegenseitig ab.
843,0,1,0.985,0.985,"Viele Grüße nach Sachsen und Danke für das was ihr jeden Montag auf die Straße bringt. Wir gehen am 15.01.2016 (erstmalig) in Paderborn, Prov. Westfalen, auf die Straße."
157,0,1,0.9834,0.9834,"Klasse Video - positiv und kämpferisch! Der folgende Link zu unseren gewaltbereiten Freunden - von den sich Pegida nicht provozieren lassen darf. Kein Wunder, dass die Demonstarnten in Leipzig nicht durchkamen...Und für alle, die es interessiert, holt Euch das Buch ""Unter Linken"" - sehr schöne Aufklärung zum Thema Gutmenschen-Politiker: [@URL]"
537,1,0,0.9834,0.9834,"Wäre er zuhause geblieben, würde er garantiert noch leben, also leider  selbst schuld. Toni und Korbinian, Ihr könnt doch gerne Flüchtlinge bei Euch aufnehmen, auf eigene Rechnung verköstigen und beschützen. Da hat keiner was dagegen."
1067,1,0,0.9814,0.9814,Und das dumme Volk läßt sich verblenden leider wachen noch viel zu wenig auf
167,1,0,0.981,0.981,"Gerade im ZDF gesehen, die ""Auswanderer"" haben die Polizei angegriffen !!! Sie bringen ihre Religion, ihre Kultur und ihre Gewaltbereitschaft (vor der sie ja gerade fliehen) mit !! Da hilft nur Abschreckung. Siehe Australien !! Sonst endet das im Untergang des Abendlandes :("
933,1,0,0.9717,0.9717,AUTODEFENSA!
