index,true_label,predicted_label,confidence,predicted_proba,text
679,1,0,1.0,1.0,Darum morgen Stiglmaierplatz statt Feierabend am Badesee!
202,1,0,1.0,1.0,Haben die Jungens gut auf den Punkt gebracht...https://www.youtube.com/watch?v=1ve1kjJOHYI&feature=share
631,1,0,1.0,1.0,Til Schweiger boykottieren
64,1,0,1.0,1.0,"Die Häme im Leitpost ist unanständig, 
die verächtliche Freude in den Kommentaren hier über den Tod dieser Person unpatriotisch und undeutsch. Sollte sich ändern."
1065,1,0,0.9995,0.9995,"4,3 Tsd. Aufrufe und nur 424 Gefällt mir Angaben!Ganz ehrlich ich verstehe euch nicht.Angst?!Vor was.Meint ihr es ändert sich was bloß vom zuschauen.Das ist unsere Nationalhymne, kann man da nicht Gefällt mir drücken!"
1136,1,0,0.9995,0.9995,"Ich erinnere mich bei dieser Gelegenheit an das Märchen von Hänsel und Gretel, da bat Gretel die böse Hexe zuerst in den Ofen zu klettern um die Temperatur zu prüfen um sie dann gepflegt im Ofen zu braten,genau das und nichts anderes empfehle ich auch mit Frau Merkel zu machen wär doch mal ne Maßnahme! ??????"
775,1,0,0.999,0.999,"tja, dann hat die PEGIDA wohl nun eine gewisse aufklärungspflicht, damit die ausländischen fachkräfte keine angst haben."
1164,1,0,0.999,0.999,N Träcker mit 'nem Güllefass. Ruck Zuck ist die Staße frei.
343,1,0,0.9966,0.9966,"Glaubt nur nicht,dass dies nur in Deutschland so ist die Österreicher haben auch immer mehr die Nase voll .
Wen es interessiert schaut bei der FPÖ nach, den Wienern stinkts auch, überall hat die FPÖ  Zuwachsraten. 

Empfehlung:  HC Strache

Herbert Klickl zur Integration in Österreich.

[@URL]"
167,1,0,0.9956,0.9956,"Gerade im ZDF gesehen, die ""Auswanderer"" haben die Polizei angegriffen !!! Sie bringen ihre Religion, ihre Kultur und ihre Gewaltbereitschaft (vor der sie ja gerade fliehen) mit !! Da hilft nur Abschreckung. Siehe Australien !! Sonst endet das im Untergang des Abendlandes :("
292,1,0,0.9956,0.9956,"Na, Ralph, 20 Jährchen hast du sicher noch....eine lange Zeit- am besten, du kommst zu uns in den Osten, da besteht noch Hoffnung!"
1067,1,0,0.9946,0.9946,Und das dumme Volk läßt sich verblenden leider wachen noch viel zu wenig auf
199,1,0,0.9937,0.9937,[@URL]                auf der rechten Seite könnt ihr abstimmen: Schwesig: „Linksextremismus ist ein aufgebauschtes Problem“. Hat sie recht?
595,1,0,0.9937,0.9937,"Thomas Miles ,trink Du Dein Weissbier,Bild dazu lesen,nebenbei RTL,ZDF,etc.schauen.Das passt schon."
537,1,0,0.9893,0.9893,"Wäre er zuhause geblieben, würde er garantiert noch leben, also leider  selbst schuld. Toni und Korbinian, Ihr könnt doch gerne Flüchtlinge bei Euch aufnehmen, auf eigene Rechnung verköstigen und beschützen. Da hat keiner was dagegen."
1233,0,1,0.9883,0.9883,Wir brauchen diese Leute unbedingt in Deutschland ??
294,1,0,0.987,0.987,"Es sollten lieber eigene Fachkräfte ausgebildet werden, anstatt die billigen Fachkräfte aus dem Ausland vor zu schieben! Mal bissel mehr Geld in die Bildungspolitik als in die Asylpolitik, und schon gäbe es auch mit deutschen Fachkräften eine Zukunft!"
251,1,0,0.986,0.986,Auf Grund der Ereignisse in Köln und Hamburg ist es um so wichtiger das es genauso weiter gemacht wird (y)!!!
921,1,0,0.985,0.985,"Die deutsche Arbeitsagentur wird im Wesentlichen aus den Beiträgen der sozialversicherungspflichtig tätigen Arbeitnehmer und deren Arbeitgebern finanziert. Frei nach der Logik: ""Wessen Brot ich eß, dessen Lied ich sing..."" bedeutet dies für mich, dass die Arbeitsagentur die Interessen der deutschen Arbeitnehmer und Arbeitgeber sowie der 3 Mio. deutschen Arbeitslosengeld-I-Empfänger vertreten sollte. Damit dürfte diese Behörde mehr als ausgelastet sein. Kommentare über PEGIDA oder andere politische Erscheinungen stehen diesen Leuten nicht zu, genau so wie den Vertretern der IHKs und der Handwerkskammern. In den Chefetagen dieser von keinem benötigten Wasserkopfinstitutionen sitzen unnütze Leute, die von unserem Geld leben und sich dafür das Recht herausnehmen, uns zu sagen, was wir in unserer Freizeit zu tun und zu lassen haben. Also wir sehen uns am Montag 18.30 Uhr Dresden Neumarkt!"
135,1,0,0.9834,0.9834,"Düsseldorf -

Wer kennt diese Männer? Mit Fotos aus Überwachungskameras sucht die Düsseldorfer Polizei nach ihnen. Sie sollen unter falschen Namen bei verschiedenen Banken Konten angelegt haben. Daraufhin sollen sie mit betrügerischen Überweisungen Konten unbeteiligter Bürger geschädigt haben. Der Schaden beläuft sich auf mehrere Tausend Euro....http://www.express.de/duesseldorf/duesseldorf-polizei-sucht-diese-kontobetrueger-23615652"
539,0,1,0.982,0.982,"An den Herren mit dem Fakeprofil, lesen ist ein tolle Gabe. Bitte meine Posts lesen und dann antworten, aber stumpf hetzen zählt nicht."
438,1,0,0.981,0.981,Siegfried Meyer .  Ich stimme zu. Gemeinsam gegen TTIP! Der Feind meines Feindes ist mein Freund! Jedenfalls temporär!
802,1,0,0.975,0.975,Wir deutschen sollten Asyl beantragen  auf steuerfreien Karibik Inseln. Ich habe es langsam satt den korrupten deutschen Staat mit zu finanzieren.
612,1,0,0.9736,0.9736,Frag doch mal das Serbische Volk wieviel Flüchtlinge sie aufnehmen wollen Svenja?
423,0,1,0.9688,0.9688,Erst mal unsere Leute  in Arbeit bringen das steht wohl im Vordergrund! !!!
940,0,1,0.9653,0.9653,"Ich habe jetzt nur Angst und bitte lasst mich nicht Recht haben bitte bitte bitte.....wenn die, die Grenze nicht mehr halten können und diese Gestürmt wird...diese Horde auf die Polizisten gehen und nur einer die Nerven verliert....und einen oder mehrer Erschiesst dann wird es von innenherraus sowas von abgehen wenn die, die schon hier drinne sind erfahren das auf einen  Ihrer ""Brüder"" geschossen wurde....dann is hier Land unter! ES DREHT SICH MIR DER MAGEN UM bei dem Gedanke"
1323,0,1,0.964,0.964,"Oh da musst du mal die gegendemo hören, was die brüllen geht noch weniger.aber das wird ja nicht gehört und von den medien verschwiegen!und Fäkalsprache wird ja auch hier von den sogenannten Gutmenschen gebraucht, mal alles lesen!und wer lesen und denken kann ist im Vorteil!"
157,0,1,0.9585,0.9585,"Klasse Video - positiv und kämpferisch! Der folgende Link zu unseren gewaltbereiten Freunden - von den sich Pegida nicht provozieren lassen darf. Kein Wunder, dass die Demonstarnten in Leipzig nicht durchkamen...Und für alle, die es interessiert, holt Euch das Buch ""Unter Linken"" - sehr schöne Aufklärung zum Thema Gutmenschen-Politiker: [@URL]"
674,0,1,0.953,0.953,"Vllt. sollten sich diese Linksterroristen das linke Banner mal zu Herzen nehmen. Wer mit gewaltbereiten ""autonomen"" und ""erlebnisorientierten"" Gruppen gemeinsame Sache macht, der ist einfach unglaubwürdig. 
Das rechte Banner sollte auch für PKWs und Einsatzfahrzeuge der Polizei- und Rettungskräfte gelten. 
Oh - dann bleibt ja von dem ganzen verlogenen Haufen nicht mehr viel übrig.^^"
792,1,0,0.9517,0.9517,Bravo Angola ... mehr Länder müssten dem Beispiel folgen :-)  ... [@URL] ...
456,1,0,0.9336,0.9336,"[@IND] ?zepokat : Doch, es ist gerade jetzt sehr wichtig, den Mund aufzumachen. Es bleiben viel zu viele Menschen stumm, obwohl sie genau so denken wie du und ich."
633,1,0,0.9316,0.9316,Erhäng dich Schleicher oder wie auch immer du Pussy heisst tu Deutschland einen gefallen ....Adios
902,0,1,0.931,0.931,"so muss das aussehen wie in ungarn. aber hier werden sie in wohnsiedlungen usw. gebracht...damit wir deutschen denen näher sind und freundschaften schliessen...mal zum kaffee einladen und schach spielen, messer werfen..."
136,1,0,0.923,0.923,#RapeFuzees GetOut from Europe !
685,1,0,0.9224,0.9224,Dann soll er doch die Fluechtlinge aufnehmen wenn er genug Platz hat
1066,0,1,0.91,0.91,wenn das bei uns in dresden passieren sollte dann knade euch gott ihr da oben
431,1,0,0.8896,0.8896,Thomas Biegel schau in dein postfach unter sonstiges ...
360,1,0,0.88,0.88,"""platzt die Einrichtung aus allen Nähten. Im Februar waren in dem Heim an  der Kasernenstraße 275 Menschen aus 21 verschiedenen Nationen  untergebracht. Drei bis vier Asylbewerber teilen sich jeweils ein Zimmer"" och je, die armen :-D  soll'n se doch zu Hause anrufen, das de Bude voll is und keiner mehr kommen soll ! ! !"
708,0,1,0.872,0.872,Finde Pegida muss verboten werden. Hab gehört gibt's auch nicht in Angola.
152,1,0,0.8696,0.8696,"Hier der Livestream für alle die heute nicht in Chemnitz dabei sein können.

#PEGIDA
#MontagIstPegidaTag"
675,0,1,0.865,0.865,"...und nun machen die Länder, aus denen DIE kommen dicht...von wegen - Grenzen nicht schliessen...KEINER will DIE mehr haben - Danke Frau Merkel...!!! ...weg mit dieser VolksVerräterVerrücktenRegierung...!!!"
1335,0,1,0.8613,0.8613,Gebt es nicht zu zeitig bekannt sonst hat irgentwer wieder irgentwo was zu melden von der stattregierung  und wenn die es weiß bittet um Geheimhaltung bis Sonntag am besten Montag Mittag dann kann keiner mehr was ändern vonwegen terorrandrohung und und und
956,1,0,0.8574,0.8574,Kevin Pekel Oliver Fuchs drüber fahren und gut ist !!!
219,1,0,0.853,0.853,"Polen/ Warschau // Hallo Chaos – Refugees, dann würden eure “Triller“ aus der Schnauze fallen ! Seht euch nur die ersten Sekunden an. Mehr könntet ihr sowieso nicht erkennen ! ?  [@URL]"
497,0,1,0.8467,0.8467,"Wer ist eigentlich auf dieser Welt alles ""Wir"" ich dachte immer WIR sind in Deutschland und nicht im ""Wir"" Land das allen scheinbar gehört,...jeder darf hier lauthals seine Meinung kund tun, darf fordern und einkassiern, uns Belehrungen und Massregeln erteilen,  auf unsere Kosten gut leben...jeder von den neuen und alten WIR hat noch ein Reserveland im Ärmel, in dem seine Wurzeln sind,  auf das er zurückgreifen kann wenn es ihm im WIR-Deutschland zu eng wird....Liebe Neu und alt WIR-Bürger...solch ein Land haben WIR-Deutschen nicht...wir haben nur unser Deutschland....das von Euch gerade dem Erdboden gleich gemacht wird."
384,1,0,0.8423,0.8423,"und wieder einmal haben Sie eine Information nicht hinterfragt. Googeln nach ""Kampgane""+""Fluchthelfer"" liefert diverse Infos. Die Kampagne hat mitnichten etwas mit einem amerik. Think-Tank zu tun... Ein Ergebnis der Suche: [@URL] Aber Hauptsache, man hat eine Seite gefunden, die die eig. Vorurteile bestätigt!"
558,0,1,0.842,0.842,"Wenn Art. 146 GG nicht endlich durchgesetzt wird , nehemen wir Art. 20 (4) GG in Anspruch. Dann können wir nochmal über Sektenfreiheit diskutieren."
