index,true_label,predicted_label,confidence,predicted_proba,text
1067,1,0,1.0,1.0,Und das dumme Volk läßt sich verblenden leider wachen noch viel zu wenig auf
64,1,0,0.9995,0.9995,"Die Häme im Leitpost ist unanständig, 
die verächtliche Freude in den Kommentaren hier über den Tod dieser Person unpatriotisch und undeutsch. Sollte sich ändern."
775,1,0,0.9995,0.9995,"tja, dann hat die PEGIDA wohl nun eine gewisse aufklärungspflicht, damit die ausländischen fachkräfte keine angst haben."
423,0,1,0.9985,0.9985,Erst mal unsere Leute  in Arbeit bringen das steht wohl im Vordergrund! !!!
612,1,0,0.998,0.998,Frag doch mal das Serbische Volk wieviel Flüchtlinge sie aufnehmen wollen Svenja?
675,0,1,0.9976,0.9976,"...und nun machen die Länder, aus denen DIE kommen dicht...von wegen - Grenzen nicht schliessen...KEINER will DIE mehr haben - Danke Frau Merkel...!!! ...weg mit dieser VolksVerräterVerrücktenRegierung...!!!"
456,1,0,0.9956,0.9956,"[@IND] ?zepokat : Doch, es ist gerade jetzt sehr wichtig, den Mund aufzumachen. Es bleiben viel zu viele Menschen stumm, obwohl sie genau so denken wie du und ich."
438,1,0,0.995,0.995,Siegfried Meyer .  Ich stimme zu. Gemeinsam gegen TTIP! Der Feind meines Feindes ist mein Freund! Jedenfalls temporär!
900,0,1,0.9946,0.9946,Stechen sich gegenseitig ab.
537,1,0,0.9917,0.9917,"Wäre er zuhause geblieben, würde er garantiert noch leben, also leider  selbst schuld. Toni und Korbinian, Ihr könnt doch gerne Flüchtlinge bei Euch aufnehmen, auf eigene Rechnung verköstigen und beschützen. Da hat keiner was dagegen."
292,1,0,0.9883,0.9883,"Na, Ralph, 20 Jährchen hast du sicher noch....eine lange Zeit- am besten, du kommst zu uns in den Osten, da besteht noch Hoffnung!"
167,1,0,0.988,0.988,"Gerade im ZDF gesehen, die ""Auswanderer"" haben die Polizei angegriffen !!! Sie bringen ihre Religion, ihre Kultur und ihre Gewaltbereitschaft (vor der sie ja gerade fliehen) mit !! Da hilft nur Abschreckung. Siehe Australien !! Sonst endet das im Untergang des Abendlandes :("
157,0,1,0.988,0.988,"Klasse Video - positiv und kämpferisch! Der folgende Link zu unseren gewaltbereiten Freunden - von den sich Pegida nicht provozieren lassen darf. Kein Wunder, dass die Demonstarnten in Leipzig nicht durchkamen...Und für alle, die es interessiert, holt Euch das Buch ""Unter Linken"" - sehr schöne Aufklärung zum Thema Gutmenschen-Politiker: [@URL]"
1065,1,0,0.9873,0.9873,"4,3 Tsd. Aufrufe und nur 424 Gefällt mir Angaben!Ganz ehrlich ich verstehe euch nicht.Angst?!Vor was.Meint ihr es ändert sich was bloß vom zuschauen.Das ist unsere Nationalhymne, kann man da nicht Gefällt mir drücken!"
202,1,0,0.987,0.987,Haben die Jungens gut auf den Punkt gebracht...https://www.youtube.com/watch?v=1ve1kjJOHYI&feature=share
933,1,0,0.983,0.983,AUTODEFENSA!
199,1,0,0.982,0.982,[@URL]                auf der rechten Seite könnt ihr abstimmen: Schwesig: „Linksextremismus ist ein aufgebauschtes Problem“. Hat sie recht?
135,1,0,0.9795,0.9795,"Düsseldorf -

Wer kennt diese Männer? Mit Fotos aus Überwachungskameras sucht die Düsseldorfer Polizei nach ihnen. Sie sollen unter falschen Namen bei verschiedenen Banken Konten angelegt haben. Daraufhin sollen sie mit betrügerischen Überweisungen Konten unbeteiligter Bürger geschädigt haben. Der Schaden beläuft sich auf mehrere Tausend Euro....http://www.express.de/duesseldorf/duesseldorf-polizei-sucht-diese-kontobetrueger-23615652"
958,0,1,0.978,0.978,Schwachsinn..... jetzt umso mehr wir geben nicht auf ! wir haben ein Ziel und halten voll drauf !!! :) PEGIDA !!!!
341,0,1,0.972,0.972,Wem es nicht passt - einfach zurück in die Heimat!
1301,0,1,0.9688,0.9688,raus
251,1,0,0.963,0.963,Auf Grund der Ereignisse in Köln und Hamburg ist es um so wichtiger das es genauso weiter gemacht wird (y)!!!
