index,true_label,predicted_label,confidence,predicted_proba,text
123,1,0,0.973,0.973,[@URL]
1411,1,0,0.966,0.966,Kirsten Schnee Wahlbeteiligung weit unter 50%! Wahlversprechen und Eid nicht erfüllt! Ausmisten!!!!
1036,1,0,0.947,0.947,Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER
1156,0,1,0.9463,0.9463,Bis der erste erschossen wird bei einem Einbruch!
182,0,1,0.9414,0.9414,Brennen wird es auch ohne einem Polizeiausraster
278,1,0,0.914,0.914,"Genau, sie sind ja auch zu Fuss gekommen!"
354,1,0,0.9087,0.9087,Richtig immer drauf.
1314,0,1,0.9043,0.9043,"[@URL]   NUN WISSEN ALLE, WARUM HERR SCHWEIGER INS LUKRATIVE GESCHÄFT MIT EINSTEIGEN WILL! ! ! DA GEHT ES NICHT UM NÄCHSTENLIEBE, SONDERN UMS KNALL HARTE GESCHÄFT! ! ! ! ! UND WER EINMAL AN DER DICKEN KOHLE GEROCHEN HAT, DER WILL IMMER MEHR! ! ! !  DER ALLTAG BEWEIST ES UNS  IMMER WIEDER! ! ! !  TJA, HERR SCHWEIGER - DUMM GELAUFEN -AUFGEFLOGEN ??????????????????"
947,1,0,0.895,0.895,"Ja, der Graben in Deutschland wird immer tiefer. Aber solange die Eliten in Deutschland und Europa ihre Politik gegen die Interessen der Bevölkerung fortsetzen, d.h. als ersten Schritt nicht die Zuwanderung stoppen, wird die Kluft zu immer größeren Teilen der Bevölkerung auch immer größer werden. Und wenn die demokratschen Institutionen versagen, wird der Kampf am Ende auf der Straße ausgefochten."
1380,1,0,0.887,0.887,Komm mal zu mir nach Hause und lerne mein Nudelholz kennen
715,0,1,0.8833,0.8833,Der arme Täter hat es geschafft: Es wird Totschlag und kein Mord sein. Er wird 6 Jahre bekommen und nach 4 Jahren draussen sein...... In Deutschland unabschiebbar!
1247,0,1,0.875,0.875,"erst kommt die nazikeule und dann stellt es sich wieder heraus, dass sie sich gegenseitig umbringen, diese netten bereicherer und fachkräfte"
1284,0,1,0.8726,0.8726,"Man liest genug über Flüchtlinge,Gewalt Totschlag, Reicht"
277,1,0,0.872,0.872,"Haben sie den EKD-Vorsitzenden vor Ort auch schon überrannt, oder hetzt der noch gegen uns?"
1375,1,0,0.858,0.858,Alles gut.Kein Deutscher Bürger zu Schaden gekommen.
1261,1,0,0.8564,0.8564,"Ich weiss auch nicht, was mit den Bayern los ist. Egal ist ihnen nicht, dass die Asylanten überall zuhauf anzutreffen sind und auch noch großkotzig und breitschultrig die Dicken markieren, von Anpassung und Dankbarkeit keine Spur, aber irgendwie scheint die Mehrheit zu glauben, ohnehin nichts ändern zu können. Viele stecken auch zu tief im Hamsterrad, arbeiten, arbeiten, Geld ranklotzen, dass kaum Zeit oder Interesse bleibt, sich die Augen öffnen zu lassen. Sie werden erst aufwachen, wenns persönlich wird. Selbst Opfer einer Enteignung, eines Übergriffes, etc. Man muss sich eigtl nur ausmalen, was auf unsere Kinder zukommt. ??"
113,1,0,0.8394,0.8394,Da haste sowas von recht denn wir sind das Volk und wir können die Politika in die Knie zwingen Frankreich hat es schon bewiesen denn wenn die auf der Straße kehren dann läuft nichts mehr
1340,1,0,0.8384,0.8384,"Taha Tek Was soll ich in Syrien? Ich kenne dieses Land nicht einmal. Es ist mir auch völlig egal, was dort vor sich geht. Was in DEUTSCHLAND vor sich geht wird man auf die eine oder andere Art beeinflussen können. Leider dann nicht zum Besten der restlichen Welt. Oder haben Sie einen Rat, wie man die Moslems aus Deutschland ( geräuschlos) wieder hinausbefördert?"
988,1,0,0.838,0.838,Noch 999873 ... Ab nach wo sie hinkommen
1225,0,1,0.837,0.837,"Dann ist dein Auto aber Schrott. Ich hätte da eine bessere Lösung, die keine Beulen am Auto macht."
1049,1,0,0.837,0.837,"MERKEL, Roth, Stegner, Maas und der Rest der Politikerpest haben mitgestochen"
1114,0,1,0.8354,0.8354,"Damit er , wenn ihm was nicht passt dir den Schädel einschlägt, oder dir dein Haus  anzündet??? Ne lass man, ich bleib lieber unter Meinesgleichen."
