index,true_label,predicted_label,confidence,predicted_proba,text
19,1,0,1.0,1.0,"Gutscheine für Kleidung? 
Was ist mit den Deutschen Familien die nen Antrag auf Bekleidung stellen? 
Die bekommen alle ne Absage, von der Arge, 
und solche Kanalratten bekommen einmal mehr alles in ihren Islamistischen Arsch gesteckt... 
Wird Zeit das die Regierung aufgelöst, oder weggebombt wird... Unfassbar sowas..."
565,1,0,1.0,1.0,"Warum macht sich Pegida nicht für die Themen stark, die Europa in Wahrheit dominieren aber aufgrund der Terror-Meldungen und Hetzkampagnen der Mainstream Medien nicht wahrgenommen werden? Ihr kritisiert die Auswirkungen der Asylpolitik statt euch mal wirklich mit den Ursachen auseinanderzusetzen. Warum haben wir so viele Flüchtlinge und künftig noch mehr? Die Integrationspolitik hat bislang auf ganzer Linie versagt und es werden 2015 weitere 230000 hilfesuchende Menschen  hinzukommen. 163000 Anträge sind offen. Und die kommen mit Sicherheit nicht alle hierher weil es so toll bei uns ist, sondern weil sie aus ihrem Land vertrieben wurden. Wendet euch endlich den Ursachen zu statt die Symptome zu bekämpfen. Die Ursache ist KRIEG. Kriege, die von Deutschland als drittgrößter Waffenlieferant der Welt gefördert werden. Es geht bei diesen Kriegen nicht um die Menschen sondern um Macht und ökonomische Interessen. Früher diente die Ökonomie dem Menschen heute ist es umgekehrt. Die Menschen dienen weltweit einem System von dem nur Eliten profitieren. Statt ständig über Religion, Hautfarbe und Rasse zu diskutieren, sollten wir uns als MENSCHEN zusammenschließen und für allgemeingültige Werte einsetzen. Reduziert euer Denken nicht auf eine vermeintliche Islamisierung sondern auf den drohenden Verlust unserer Demokratie und Selbstbestimmung. Fangt  an euer Leben selbst in die Hand zu nehmen. Informiert euch bei den unabhängigen Medien. Unterstützt sie. Geht auf die Strasse. Setzt euch für den Frieden ein. Hier, in der Ukraine, in Syrien, im Gaza, weltweit. Die Angst vor einem Krieg in Europa ist groß und berechtigt. Informiert euch über TTIP, ESM, TISA. Mit dem heutigen Beschluss von EZB-Chef Draghi insgesamt für 1,14 B I L L I O N E N Euro Staatsanleihen anzukaufen und den Markt mit Geld zu fluten, für das faktisch kein Gegenwert geschaffen werden kann bewegen wir uns weiter in Richtung EU-Diktatur. Die Anleihen werden nie und nimmer von den jeweiligen Ländern zurückgezahlt werden. Folglich werden sie gemäß EU-Vertrag vergemeinschaftlicht. Was das bedeutet kann sich jeder selbst ausmalen. Wann hört dieser Wahnsinn endlich auf? Der Kapitalismus ist am Ende. Die Folge daraus kann nur Krieg oder Frieden sein. Ich schließe diesen Kommentar im Sinne eines 1. Weltfriedens mit den Worten von Bertold Brecht:
""Wenn Unrecht zu Recht wird, 
Wird Widerstand zur Pflicht"""
723,1,0,1.0,1.0,Ich melde mich freiwillig zum abriss
33,1,0,1.0,1.0,"ICH würde ALLE Afrikaner abschieben und nicht mehr reinlassen. 1.ISLAMISTEN, 2.Unterentwickelt, 3.Schlagfertig, 4.UNBELEHRBAR!
Oooh hoho ja weil ich diese Bombenleger nicht leiden kann werden Leute wie ich sofort als NAZI (gegen ALLE Ausländer) abgestempelt. #WayneTrain"
932,1,0,1.0,1.0,"Sie wissen aber schon, dass ""Schmocks"" jiddisch ist? ""Unter Steine kriechen"" - aha - ""braunes Gesocks"" soso! Tun Sie der Menschheit einen Gefallen, und leben Sie unter den Surensöhnen - mal schaun, wie schnell Sie ihre Meinung ändern, nachdem ihre Tochter in einem Gangbang vergewaltigt wurde. Sie haben keine Kinder? DAS könnte ihre Ignoranz allerdings erklären: Nach mir die Sintflut, gelle!?"
947,1,0,1.0,1.0,"Ja, der Graben in Deutschland wird immer tiefer. Aber solange die Eliten in Deutschland und Europa ihre Politik gegen die Interessen der Bevölkerung fortsetzen, d.h. als ersten Schritt nicht die Zuwanderung stoppen, wird die Kluft zu immer größeren Teilen der Bevölkerung auch immer größer werden. Und wenn die demokratschen Institutionen versagen, wird der Kampf am Ende auf der Straße ausgefochten."
961,1,0,1.0,1.0,und alles sehr gut Ausgebildet im Grapschen
977,0,1,1.0,1.0,"Bei manchen Menschen,hat man das Gefühl,das sie schon ihr Leben lang versuchen,eine Eiche mit einer Feder zu zersägen,und wenn man ihnen dann sagt,:dazu muss man eine Säge nehmen,sagen sie:>>das tut dem armen Baum doch weh<<"
988,1,0,1.0,1.0,Noch 999873 ... Ab nach wo sie hinkommen
1036,1,0,1.0,1.0,Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER
1049,1,0,1.0,1.0,"MERKEL, Roth, Stegner, Maas und der Rest der Politikerpest haben mitgestochen"
