index,true_label,predicted_label,confidence,predicted_proba,text
172,2,0,0.9985,0.9985,"Hey, dann geh auf die Zeil im 1. Stock, da hast du einen ""Sieg Heil""-Moment."
912,1,0,0.997,0.997,man weiß immer nicht ...soll man lachen oder weinen...
25,1,0,0.9946,0.9946,Do not open the border??
138,1,0,0.9946,0.9946,würde mich echt kaputtlachen wenn die Nichtsyrier nach Syrien zurückschicken.
1159,2,0,0.992,0.992,"Deshalb ist die Befreiung Palästinas für jeden Moslem die höchste persönliche Pflicht, wo immer er sich befindet. (...) Der Jihad ist die persönliche Pflicht jedes Moslems, (...) Angesichts des Raubes durch die Juden ist es unvermeidlich, dass ein Banner des Jihad gehisst wird."
1141,1,0,0.988,0.988,Lernt doch den Asylanten deutsch und verkauft eure Seele gleich mit.
503,0,2,0.9863,0.9863,H3il Hitl3r!
781,0,1,0.979,0.979,"vk.com/staalkopff  Merkel ist nach Paris immer noch im Amt, sie hat eine Neujahresansprache gehalten. 
Ich habe voraus gesagt was dann passiert. 
Es kommen immer noch Tausende nach Deutschland.Täglich..
Von Maßnahmen wird nur gesprochen. ...
Ein staatliches Kontrollgremium hat jetzt sogar Adminrechte bei Facebook, und ihr alle nehmt das alles weiter und weiter hin. 
Dabei gibt es Alternativen.... 
Sonderschüler und ehemalige Stasi IMs regieren Deutschland, und sie sehen jetzt sogar in eure persönlichen Nachrichten bei Facebook! Und ihr alle nehmt das einfach hin.
Es ist nicht so das in Deutschland der Staat oder die Politik versagt.
Es ist so, dass der Bürger total versagt....
Wie armselig.... und nach den getürkten Wahlen, denn das müssen sie machen... wird wahrscheinlich auch gar nichts passieren...
Gebt in Zukunft niemand anderem mehr die Schuld, wenn in Deutschland alles den Bach runter geht..
Ihr seid selber Schuld...."
1070,0,1,0.977,0.977,"Brandenburgs AfD-Chef Alexander Gauland hat die derzeitige Asylpolitik heftig kritisiert. Die rot-rote Landesregierung fragte er: „Was haben Ihnen die Bürger in diesem Land eigentlich getan, daß Ihnen Migranten näher stehen als der deutsche Steuerzahler?“ Das Asylrecht müsse ausgesetzt und die Grenzen unverzüglich geschlossen werden. [@URL]"
1095,0,2,0.9736,0.9736,⚡️⚡️ \o sieg heil mein Genosse.
1053,0,2,0.9707,0.9707,Wir werden uns nicht von den Juden und den Demokraten unterjochen lassen! Heil Hitler! Sieg Heil für Deutschland!
356,1,0,0.9688,0.9688,Über 500 Anzeigen in Köln. Von den anderen Städten wird nichts mehr berichtet. Soll da wieder was verschwiegen werden?
1443,1,0,0.968,0.968,"Viel zu wenig, Alle raus, außer Frauen, Kinder und alte Menschen die sich unserer Kultur anpassen."
922,1,0,0.96,0.96,"Bundesregierung Hand aufs Herz , andere Eure Arbeit machen lassen um selber nicht als Buhmann dazustehen, ist doch toll."
904,1,0,0.96,0.96,Dämonisierung des Gegners ist immer ein notwendiger Teil der Strategie. Jetzt sind wir an der Reihe.
327,0,2,0.96,0.96,Meine Ehre heißt Treue! Deutschland erwache! Unsere Ehre heißt Treue! Blut und Ehre! Alles für Deutschland! #Stolzmonat #Stolzmonat2024
1251,1,0,0.96,0.96,muslimisches Muster ist immer ähnlich:Arme Opfer.Hamas überfällt Israel?Terroristen sind Opfer. Bildungsfern und nicht integriert? Böse Christen oder „Kartoffeln“.Kein Job?Islamophobe verhindern.Macho und trotzdem erfolglos?Amerika. Komisch:Ganz anders bei nicht-Muslim-Migranten
1239,0,2,0.9556,0.9556,Heil Hitler! Wir werden uns nicht erweichen lassen! #Vorwärts #SiegHeil #1488
448,0,2,0.9536,0.9536,"Linke Spinner in Berlin, kein Respekt vor Eigentum, machen die Stadt kaputt und laufen mit Antisemiten und Rassisten, verherrlichen Gewaltstaaten und Massenmörder wie Stalin. Schmutz. #1Mai #b0105"
603,0,2,0.952,0.952,Deutschland erwache endlich
757,0,1,0.9443,0.9443,"Sehe ich genauso genauso Heike. Wenn nur eine kleine Gruppe, ganz spontan, sowas machen würde, denke ich das sich ganz schnell viele Passanten anschließen würden. Natürlich müsste man sicherstellen, das die Merkel und Konsorten auch im Amt sind. Das wäre aber leicht heraus zufinden. ??"
1318,0,2,0.943,0.943,"Heil Hitler, unsere Zeit wird kommen"
564,0,2,0.942,0.942,"@user: Dein Ende naht, wir werden dich zu Schanden machen. Sieg Heil!"
424,3,1,0.939,0.939,Da haste sowas von recht denn wir sind das Volk und wir können die Politika in die Knie zwingen Frankreich hat es schon bewiesen denn wenn die auf der Straße kehren dann läuft nichts mehr
1271,1,0,0.9385,0.9385,solange die Grenzen offen sind ist das vergebliche Liebesmüh.
186,0,2,0.938,0.938,Heil Hitler! Sieg Heil für Deutschland! Wir werden wieder mächtig sein!
106,0,2,0.935,0.935,"@Volksverpetzer @netzpolitik Ui, die kleinen eierlosen (im wahrsten Wortsinne) gratismutigen Volksverhetzer haben wieder einen ""pösen Nazi"" entlarvt und eine ganze Verschwörung mit.  Glückwunsch und möge Corona auf ewig mit euch sein. Corona Heil."
1142,0,2,0.932,0.932,"@Jtruzmah Terror und Besatzer Volk  sind mehr Blutrünstig geworden. Es wurden über 2000 Kinder getötet von Terrorist Zionisten Staat. Die Gottlosen Jesusmörder werden verlieren, das Gerrechtigkeit wird Siegen und Mörder Volk werden wie immer verlieren. [@URL]"
