index,true_label,predicted_label,confidence,predicted_proba,text
138,1,0,1.0,1.0,würde mich echt kaputtlachen wenn die Nichtsyrier nach Syrien zurückschicken.
912,1,0,1.0,1.0,man weiß immer nicht ...soll man lachen oder weinen...
904,1,0,1.0,1.0,Dämonisierung des Gegners ist immer ein notwendiger Teil der Strategie. Jetzt sind wir an der Reihe.
1271,1,0,0.9995,0.9995,solange die Grenzen offen sind ist das vergebliche Liebesmüh.
1244,1,0,0.9995,0.9995,Stehen die Polizisten dort nur zur Zierde rum?
770,0,1,0.9995,0.9995,"Ich habe gerade den geplanten ""Verteilungsschlüssel"" für neu ankommende Flüchtlinge angeschaut. NRW...mehr als 20 %. Sachsen: 2 %. Und gerade ihr tut hier so, als ginge das Abendland unter und wäre bereits eine muslimische Monokultur. Schaut Euch mal an, wie viele Immigranten bei Euch leben und wie viele Euch zugeteilt werden. Offenbar ist selbst den von Euch so genannten ""Volksverrätern"" der Politik klar, dass Ihr lausige Gastgeber seit. Und am Lautesten brüllt..."
781,0,1,0.999,0.999,"vk.com/staalkopff  Merkel ist nach Paris immer noch im Amt, sie hat eine Neujahresansprache gehalten. 
Ich habe voraus gesagt was dann passiert. 
Es kommen immer noch Tausende nach Deutschland.Täglich..
Von Maßnahmen wird nur gesprochen. ...
Ein staatliches Kontrollgremium hat jetzt sogar Adminrechte bei Facebook, und ihr alle nehmt das alles weiter und weiter hin. 
Dabei gibt es Alternativen.... 
Sonderschüler und ehemalige Stasi IMs regieren Deutschland, und sie sehen jetzt sogar in eure persönlichen Nachrichten bei Facebook! Und ihr alle nehmt das einfach hin.
Es ist nicht so das in Deutschland der Staat oder die Politik versagt.
Es ist so, dass der Bürger total versagt....
Wie armselig.... und nach den getürkten Wahlen, denn das müssen sie machen... wird wahrscheinlich auch gar nichts passieren...
Gebt in Zukunft niemand anderem mehr die Schuld, wenn in Deutschland alles den Bach runter geht..
Ihr seid selber Schuld...."
587,1,0,0.999,0.999,Solange wie das nicht in Deutschland passiert wird sich auch nichts andern.Sollte es mal rumsen werden die Täter verhätschelt weil sie fehlgeleitet und von Pegida bedrängt wurden.Wetten?
538,1,0,0.9985,0.9985,"Ein sehr liberaler und besonnener Freund aus Holland beschrieb mir kürzlich das Land als ""Pulverfass"", das jederzeit explodieren könne."
370,0,1,0.9985,0.9985,"sry hab nen deutschen haushälter vergessen, damit mal die deutschen vom amt wegbleiben  und arbeiten gehen, das geld wird schließlich für die armen flüchtlinge gebraucht"
757,0,1,0.998,0.998,"Sehe ich genauso genauso Heike. Wenn nur eine kleine Gruppe, ganz spontan, sowas machen würde, denke ich das sich ganz schnell viele Passanten anschließen würden. Natürlich müsste man sicherstellen, das die Merkel und Konsorten auch im Amt sind. Das wäre aber leicht heraus zufinden. ??"
1159,2,0,0.998,0.998,"Deshalb ist die Befreiung Palästinas für jeden Moslem die höchste persönliche Pflicht, wo immer er sich befindet. (...) Der Jihad ist die persönliche Pflicht jedes Moslems, (...) Angesichts des Raubes durch die Juden ist es unvermeidlich, dass ein Banner des Jihad gehisst wird."
1141,1,0,0.9976,0.9976,Lernt doch den Asylanten deutsch und verkauft eure Seele gleich mit.
25,1,0,0.9976,0.9976,Do not open the border??
