index,true_label,predicted_label,confidence,predicted_proba,text
25,1,0,1.0,1.0,Do not open the border??
731,1,0,1.0,1.0,"Hier jammert der Großteil der Kommentatoren, daß der böse  (linke) Journalist den guten (grünen) Kretsche mit hartnäckigen Fragen attackiert. Potz Blitz, lauter Warmduscher oder wie? Wo sind denn die Gegner der Pädopartei, die sich darüber freuen, wenn deren Vertreter mal etwas gekitzelt werden?"
875,1,0,1.0,1.0,"Er braucht uns ja nur zu erklären, warum fast nur wehrfähige Männer kommen und warum die hier bleiben sollen? Obwohl Asyl ja nur solange geht bis der Krieg zu Ende ist. Warum will man uns Umvolken?"
873,1,0,1.0,1.0,Die Zahlen sind einfach nur lächerlich. Und dann noch diese Kosten :( Zu Fuss nach Hause...
832,1,0,1.0,1.0,"Polizei abziehen und Bulldozer los schicken. Ihr sollt mal sehen, wie schnell die von der Straße weg sind..."
801,3,1,1.0,1.0,damit müssen wir laut der merkel leben . ich sage raus mit denen und die sollen die merkel direkt mit nehmen
781,0,1,1.0,1.0,"vk.com/staalkopff  Merkel ist nach Paris immer noch im Amt, sie hat eine Neujahresansprache gehalten. 
Ich habe voraus gesagt was dann passiert. 
Es kommen immer noch Tausende nach Deutschland.Täglich..
Von Maßnahmen wird nur gesprochen. ...
Ein staatliches Kontrollgremium hat jetzt sogar Adminrechte bei Facebook, und ihr alle nehmt das alles weiter und weiter hin. 
Dabei gibt es Alternativen.... 
Sonderschüler und ehemalige Stasi IMs regieren Deutschland, und sie sehen jetzt sogar in eure persönlichen Nachrichten bei Facebook! Und ihr alle nehmt das einfach hin.
Es ist nicht so das in Deutschland der Staat oder die Politik versagt.
Es ist so, dass der Bürger total versagt....
Wie armselig.... und nach den getürkten Wahlen, denn das müssen sie machen... wird wahrscheinlich auch gar nichts passieren...
Gebt in Zukunft niemand anderem mehr die Schuld, wenn in Deutschland alles den Bach runter geht..
Ihr seid selber Schuld...."
757,0,1,1.0,1.0,"Sehe ich genauso genauso Heike. Wenn nur eine kleine Gruppe, ganz spontan, sowas machen würde, denke ich das sich ganz schnell viele Passanten anschließen würden. Natürlich müsste man sicherstellen, das die Merkel und Konsorten auch im Amt sind. Das wäre aber leicht heraus zufinden. ??"
723,3,1,1.0,1.0,"An alle verblendeten da draußen : 
 wacht endlich auf, öffnet eure augen.. khaleds mord ist doch erst der anfang, schaut nach frankfurt/main, berlin oder andere großstädte.
ich komme grad aus paris, war beruflich unterwegs - muss es in deutschen städten auch erst soweit kommen, das die polizei nur noch in vierer gruppen und mit dem gewehr im anschlag auf patrouille gehen kann.

Rechts und links sollten sich verbünden und gemeinsam gegen dieses verlogene politikergesindel und ihr lügen auf die strasse gehen..
Wie lange wollen wir noch sklave von onkel sam sein? 
wie lange toleriert der staat noch die übergriffe linksautonomer auf polizei und andersdenkende...

Zitat des CIA Chefs: deutschland wird in 20jahren nicht mehr zu regieren sein und es wird zu bürgerkriegsähnlichen zuständen kommen...
großes dankeschön schon mal im vorraus an die deutsche presse, welche nichts besseres zu tun hat als kritiker zu diffamieren und am liebsten dem rechten specktrum zuordnet, statt die bürger über die falsche politik aufzuklären, politiker anzuklagen...
Es ist zeit für ein zweite revolution in deutschland - lasst uns vor den reichstag ziehen - barrikaden müssen brennen"
344,1,0,1.0,1.0,"Schaut euch doch mal an wer den Begriff in der heutigen Zeit wieder so generiert hat, nehem wir mal an Pro Asyl, Flüchtlingsräte, zukunftslose Sozialarbeiter die hervorragend an diesem Trend verdienen. Schaut euch an wer hinter Pro Asyl und den div. Flüchtlingsräten steckt dann wisst ihr woher der Wind weht"
616,1,0,1.0,1.0,"Bei den Obdachlosen interessiert es doch auch keinen, wo die nächtigen. Warum dann bei solchen Leuten..."
611,0,1,1.0,1.0,Warum wird unser Waffengesetz nicht endlich geändert? Damit man sich bewaffnen und sich gegen diese tollwütigen Tiere wehren kann? Dann kann man die Viecher wenigstens umlegen kann wenn man angegriffen wird. Wollen Merkel und Co das wir Freiwild sind für die ganzen Affenmenschen?Das sind doch Intelligenzmäßig noch Neandertaler ohne menschlichen Verstand.
587,1,0,1.0,1.0,Solange wie das nicht in Deutschland passiert wird sich auch nichts andern.Sollte es mal rumsen werden die Täter verhätschelt weil sie fehlgeleitet und von Pegida bedrängt wurden.Wetten?
565,0,1,1.0,1.0,"Bei solche Politikern und Beamten, wuenscht man sich weider einen kleinen Hitler. Der wurde mit allen abfahren. Oder gleich an die Wand stellen."
538,1,0,1.0,1.0,"Ein sehr liberaler und besonnener Freund aus Holland beschrieb mir kürzlich das Land als ""Pulverfass"", das jederzeit explodieren könne."
503,0,2,1.0,1.0,H3il Hitl3r!
895,0,2,1.0,1.0,Wir müssen unsere Jugend für die Werte der Nation erziehen und unsere Traditionen wiederbeleben. Führt die Hitlerjugend wieder ein!  #DeutschlandErwache
904,1,0,1.0,1.0,Dämonisierung des Gegners ist immer ein notwendiger Teil der Strategie. Jetzt sind wir an der Reihe.
912,1,0,1.0,1.0,man weiß immer nicht ...soll man lachen oder weinen...
922,1,0,1.0,1.0,"Bundesregierung Hand aufs Herz , andere Eure Arbeit machen lassen um selber nicht als Buhmann dazustehen, ist doch toll."
