index,true_label,predicted_label,confidence,predicted_proba,text
1397,1,0,1.0,1.0,Über Damaskus abwerfen
1036,1,0,1.0,1.0,Leider war es brandstiftung aber ich gehe von einem versicherungsbetrug aus aber in die richtung denkt ka KEINER
723,1,0,1.0,1.0,Ich melde mich freiwillig zum abriss
123,1,0,1.0,1.0,[@URL]
961,1,0,1.0,1.0,und alles sehr gut Ausgebildet im Grapschen
1411,1,0,1.0,1.0,Kirsten Schnee Wahlbeteiligung weit unter 50%! Wahlversprechen und Eid nicht erfüllt! Ausmisten!!!!
704,1,0,0.9995,0.9995,"Das  war  halt  eine  Fachkraft   in  Fachrichtung  ""Mord""  ......  es gibt  noch  andere.... Kfz- Export zum  Beispiel"
278,1,0,0.9995,0.9995,"Genau, sie sind ja auch zu Fuss gekommen!"
947,1,0,0.9995,0.9995,"Ja, der Graben in Deutschland wird immer tiefer. Aber solange die Eliten in Deutschland und Europa ihre Politik gegen die Interessen der Bevölkerung fortsetzen, d.h. als ersten Schritt nicht die Zuwanderung stoppen, wird die Kluft zu immer größeren Teilen der Bevölkerung auch immer größer werden. Und wenn die demokratschen Institutionen versagen, wird der Kampf am Ende auf der Straße ausgefochten."
1380,1,0,0.9995,0.9995,Komm mal zu mir nach Hause und lerne mein Nudelholz kennen
113,1,0,0.9995,0.9995,Da haste sowas von recht denn wir sind das Volk und wir können die Politika in die Knie zwingen Frankreich hat es schon bewiesen denn wenn die auf der Straße kehren dann läuft nichts mehr
1261,1,0,0.999,0.999,"Ich weiss auch nicht, was mit den Bayern los ist. Egal ist ihnen nicht, dass die Asylanten überall zuhauf anzutreffen sind und auch noch großkotzig und breitschultrig die Dicken markieren, von Anpassung und Dankbarkeit keine Spur, aber irgendwie scheint die Mehrheit zu glauben, ohnehin nichts ändern zu können. Viele stecken auch zu tief im Hamsterrad, arbeiten, arbeiten, Geld ranklotzen, dass kaum Zeit oder Interesse bleibt, sich die Augen öffnen zu lassen. Sie werden erst aufwachen, wenns persönlich wird. Selbst Opfer einer Enteignung, eines Übergriffes, etc. Man muss sich eigtl nur ausmalen, was auf unsere Kinder zukommt. ??"
1340,1,0,0.999,0.999,"Taha Tek Was soll ich in Syrien? Ich kenne dieses Land nicht einmal. Es ist mir auch völlig egal, was dort vor sich geht. Was in DEUTSCHLAND vor sich geht wird man auf die eine oder andere Art beeinflussen können. Leider dann nicht zum Besten der restlichen Welt. Oder haben Sie einen Rat, wie man die Moslems aus Deutschland ( geräuschlos) wieder hinausbefördert?"
1156,0,1,0.9985,0.9985,Bis der erste erschossen wird bei einem Einbruch!
1478,1,0,0.9985,0.9985,wer bremst verliert ;-)
1375,1,0,0.9985,0.9985,Alles gut.Kein Deutscher Bürger zu Schaden gekommen.
1421,1,0,0.998,0.998,"Da bekommt der Spruch: ""Wer bremst, hat schon verloren."" eine ganz neue Bedeutung ??????"
1164,0,1,0.998,0.998,"Ich habe jetzt nur Angst und bitte lasst mich nicht Recht haben bitte bitte bitte.....wenn die, die Grenze nicht mehr halten können und diese Gestürmt wird...diese Horde auf die Polizisten gehen und nur einer die Nerven verliert....und einen oder mehrer Erschiesst dann wird es von innenherraus sowas von abgehen wenn die, die schon hier drinne sind erfahren das auf einen  Ihrer ""Brüder"" geschossen wurde....dann is hier Land unter! ES DREHT SICH MIR DER MAGEN UM bei dem Gedanke"
277,1,0,0.9976,0.9976,"Haben sie den EKD-Vorsitzenden vor Ort auch schon überrannt, oder hetzt der noch gegen uns?"
1473,1,0,0.9976,0.9976,"In unserer Ecke (Schneeberg) wird zZ. soviel multikulti reingepumpt, dass man sich jeden Tag einmal anpöbeln lassen kann....und Nazi iss da nur dass Kosewort....ich sag dann immer....Sei froh, dass ich kein Nazi bin, sonst wärst Du schon Asche...."
736,1,0,0.9966,0.9966,einsatzschild ins gesicht und dann ist alles wieder gut       Recep Catakli
1539,0,1,0.9966,0.9966,jaja da da fühlen sich insere syr sog. flüchtlinge ganz wie zu hause.  zerstören randalieren und gegen die polizei kämpfen. slche ausgebildeten kämpfer braucht unsere reg. um weiterhin  das eigene volk zu unterdrücken. herzlich willkommen.
189,1,0,0.9966,0.9966,Zu mal doch so viele Hooligans schon Selbstjustiz verüben und versuchen den ersten Schritt zu wagen.
906,0,1,0.996,0.996,Knüppelvoll der Platz <3 meeegaaaaa!!!!!!
19,1,0,0.995,0.995,"Gutscheine für Kleidung? 
Was ist mit den Deutschen Familien die nen Antrag auf Bekleidung stellen? 
Die bekommen alle ne Absage, von der Arge, 
und solche Kanalratten bekommen einmal mehr alles in ihren Islamistischen Arsch gesteckt... 
Wird Zeit das die Regierung aufgelöst, oder weggebombt wird... Unfassbar sowas..."
167,1,0,0.9946,0.9946,"Tja, denen würde ich gerne das Märchen vom ""Tischlein deck dich"" mal näherbringen wollen. Ich denke die Passagen mit dem Knüppel würden vorerst genügen zum besseren Verständnis."
264,0,1,0.994,0.994,die haben nichts zu fordern-die sollen ihr land verteidigen-die eu muss diese personen normal verhaften-das ist landfriedenbruch
715,0,1,0.9937,0.9937,Der arme Täter hat es geschafft: Es wird Totschlag und kein Mord sein. Er wird 6 Jahre bekommen und nach 4 Jahren draussen sein...... In Deutschland unabschiebbar!
1130,1,0,0.9927,0.9927,Dem gehört sofort alles abgeschnitten
460,0,1,0.992,0.992,Hmm ist ja gut das die wieder nach Hause geschickt werden mit Flugzeuge. müssen das auch machen dann. Aber ertrinken lassen finde ich unchristlich!!! Dann Lieber nach Hause fliegen. Dachte ihr seid hier auch Christen.
1245,1,0,0.992,0.992,Victoria Tennes Wir können auch sein lassen und zuschauen. In zwei bis drei Jahren werden wir freiwillig unsere Häuser räumen müssen oder Kopf ab!
1114,0,1,0.991,0.991,"Damit er , wenn ihm was nicht passt dir den Schädel einschlägt, oder dir dein Haus  anzündet??? Ne lass man, ich bleib lieber unter Meinesgleichen."
