index,true_label,predicted_label,confidence,predicted_proba,text
775,1,0,1.0,1.0,"tja, dann hat die PEGIDA wohl nun eine gewisse aufklärungspflicht, damit die ausländischen fachkräfte keine angst haben."
595,1,0,1.0,1.0,"Thomas Miles ,trink Du Dein Weissbier,Bild dazu lesen,nebenbei RTL,ZDF,etc.schauen.Das passt schon."
1065,1,0,1.0,1.0,"4,3 Tsd. Aufrufe und nur 424 Gefällt mir Angaben!Ganz ehrlich ich verstehe euch nicht.Angst?!Vor was.Meint ihr es ändert sich was bloß vom zuschauen.Das ist unsere Nationalhymne, kann man da nicht Gefällt mir drücken!"
1067,1,0,1.0,1.0,Und das dumme Volk läßt sich verblenden leider wachen noch viel zu wenig auf
456,1,0,1.0,1.0,"[@IND] ?zepokat : Doch, es ist gerade jetzt sehr wichtig, den Mund aufzumachen. Es bleiben viel zu viele Menschen stumm, obwohl sie genau so denken wie du und ich."
947,0,1,1.0,1.0,"Es wird in Dresden keine Ahmadiyya Moschee geben, das wird sowas von nach hinten losgehen! Selbst die Stubenhocker und die Schlafschafe werden durch so eine Aktion hell wach werden, die geplante Dresdner Mosche wird noch mehr Leute mobilisieren und auch die Ziele der Moslems (das kreuz zerbrechen, die welt islamisch machen) werden in den Mittelpunkt rücken, daher finde ich es gut! Es wird ein ganz großes Thema und im Zuge von islamischen Terroranschlägen, den Sex Attacken auf unsere Frauen durch illegal eingereiste Moselms und so weiter wird den Islam als das bloßstelllen was er ist, nämliche ein hasserfüllter, faschistoider Todeskult! PS. So, Mauermörder-Stasi-Kahane  und Maas mit den hohen Absatzschuhen jetzt könnt ihr löschen!"
202,1,0,1.0,1.0,Haben die Jungens gut auf den Punkt gebracht...https://www.youtube.com/watch?v=1ve1kjJOHYI&feature=share
537,1,0,1.0,1.0,"Wäre er zuhause geblieben, würde er garantiert noch leben, also leider  selbst schuld. Toni und Korbinian, Ihr könnt doch gerne Flüchtlinge bei Euch aufnehmen, auf eigene Rechnung verköstigen und beschützen. Da hat keiner was dagegen."
876,1,0,1.0,1.0,"Man sollte den Artikel auch lesen!! Das hat Pegida sarkastisch gemeint. Niemand hat einen rechtsradikalen Hintergrund gewittert. Zitat:   ""Wir gehen von einer Auseinandersetzung unter Heimbewohnern aus und können einen politisch motivierten Hintergrund ausschließen"""
843,0,1,1.0,1.0,"Viele Grüße nach Sachsen und Danke für das was ihr jeden Montag auf die Straße bringt. Wir gehen am 15.01.2016 (erstmalig) in Paderborn, Prov. Westfalen, auf die Straße."
157,0,1,1.0,1.0,"Klasse Video - positiv und kämpferisch! Der folgende Link zu unseren gewaltbereiten Freunden - von den sich Pegida nicht provozieren lassen darf. Kein Wunder, dass die Demonstarnten in Leipzig nicht durchkamen...Und für alle, die es interessiert, holt Euch das Buch ""Unter Linken"" - sehr schöne Aufklärung zum Thema Gutmenschen-Politiker: [@URL]"
135,1,0,1.0,1.0,"Düsseldorf -

Wer kennt diese Männer? Mit Fotos aus Überwachungskameras sucht die Düsseldorfer Polizei nach ihnen. Sie sollen unter falschen Namen bei verschiedenen Banken Konten angelegt haben. Daraufhin sollen sie mit betrügerischen Überweisungen Konten unbeteiligter Bürger geschädigt haben. Der Schaden beläuft sich auf mehrere Tausend Euro....http://www.express.de/duesseldorf/duesseldorf-polizei-sucht-diese-kontobetrueger-23615652"
685,1,0,1.0,1.0,Dann soll er doch die Fluechtlinge aufnehmen wenn er genug Platz hat
64,1,0,1.0,1.0,"Die Häme im Leitpost ist unanständig, 
die verächtliche Freude in den Kommentaren hier über den Tod dieser Person unpatriotisch und undeutsch. Sollte sich ändern."
384,1,0,0.9995,0.9995,"und wieder einmal haben Sie eine Information nicht hinterfragt. Googeln nach ""Kampgane""+""Fluchthelfer"" liefert diverse Infos. Die Kampagne hat mitnichten etwas mit einem amerik. Think-Tank zu tun... Ein Ergebnis der Suche: [@URL] Aber Hauptsache, man hat eine Seite gefunden, die die eig. Vorurteile bestätigt!"
360,1,0,0.999,0.999,"""platzt die Einrichtung aus allen Nähten. Im Februar waren in dem Heim an  der Kasernenstraße 275 Menschen aus 21 verschiedenen Nationen  untergebracht. Drei bis vier Asylbewerber teilen sich jeweils ein Zimmer"" och je, die armen :-D  soll'n se doch zu Hause anrufen, das de Bude voll is und keiner mehr kommen soll ! ! !"
199,1,0,0.999,0.999,[@URL]                auf der rechten Seite könnt ihr abstimmen: Schwesig: „Linksextremismus ist ein aufgebauschtes Problem“. Hat sie recht?
631,1,0,0.999,0.999,Til Schweiger boykottieren
675,0,1,0.999,0.999,"...und nun machen die Länder, aus denen DIE kommen dicht...von wegen - Grenzen nicht schliessen...KEINER will DIE mehr haben - Danke Frau Merkel...!!! ...weg mit dieser VolksVerräterVerrücktenRegierung...!!!"
292,1,0,0.999,0.999,"Na, Ralph, 20 Jährchen hast du sicher noch....eine lange Zeit- am besten, du kommst zu uns in den Osten, da besteht noch Hoffnung!"
